                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9976,                 2.8902,                 1.3823,                0.61046,                0.60159,                0.62171,                0.45758,                 1.0083,                 2.6553,                 1.3975,              0.0033114,              0.0033114,              0.0033114
                      2,                0.98238,                 1.7798,                 1.2572,                0.52063,                0.76657,                0.54587,                0.39898,                0.95088,                 2.6944,                 1.3705,              0.0066316,              0.0066316,              0.0066316
                      3,                 1.0259,                 1.5721,                 1.2894,                0.57065,                0.72703,                0.59138,                0.42276,                0.96785,                 2.4393,                 1.4413,              0.0099386,              0.0099386,              0.0099386
                      4,                 1.0588,                 1.3704,                 1.2997,                0.72978,                0.77562,                0.85874,                 0.6317,                0.97505,                 1.4923,                 1.4254,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0262,                 1.1845,                 1.2927,                0.62786,                0.77723,                 0.8061,                0.56784,                 1.0024,                 1.4676,                 1.4156,              0.0099208,              0.0099208,              0.0099208
                      6,                0.98809,                 1.0468,                 1.2554,                0.81592,                0.79128,                0.87084,                0.66417,                0.88724,                 1.0443,                 1.3223,               0.009901,               0.009901,               0.009901
                      7,                0.98502,                 1.0009,                 1.2571,                0.78719,                0.74613,                0.88957,                0.67416,                0.95145,                 1.0692,                 1.3814,              0.0098812,              0.0098812,              0.0098812
                      8,                0.95969,                0.92196,                 1.2351,                 0.9135,                0.80753,                0.92734,                0.72327,                0.85194,                0.82765,                 1.2973,              0.0098614,              0.0098614,              0.0098614
                      9,                0.95508,                  0.903,                 1.2368,                0.92785,                0.85244,                0.95157,                0.74313,                0.85086,                0.68176,                  1.297,              0.0098416,              0.0098416,              0.0098416
                     10,                0.93426,                0.84348,                 1.2205,                0.85313,                0.89214,                0.93913,                 0.7326,                0.84242,                 0.7396,                 1.2742,              0.0098218,              0.0098218,              0.0098218
                     11,                0.91792,                0.81558,                  1.212,                0.80845,                 0.7863,                0.87998,                0.67301,                0.88412,                0.81949,                 1.3023,               0.009802,               0.009802,               0.009802
                     12,                0.89419,                0.77845,                 1.1941,                0.91975,                0.88159,                0.96131,                0.75818,                0.80045,                0.58015,                 1.2688,              0.0097822,              0.0097822,              0.0097822
                     13,                0.89848,                 0.7706,                 1.1925,                0.89461,                0.87707,                 0.9482,                0.75023,                0.81639,                0.62451,                 1.2693,              0.0097624,              0.0097624,              0.0097624
                     14,                0.88383,                0.72587,                  1.187,                 0.9057,                 0.9125,                0.96436,                0.76628,                0.79411,                0.56249,                 1.2312,              0.0097426,              0.0097426,              0.0097426
                     15,                0.87694,                 0.7356,                 1.1795,                0.93338,                0.86642,                0.96241,                0.76845,                0.77797,                0.56902,                   1.24,              0.0097228,              0.0097228,              0.0097228
                     16,                0.87834,                0.72016,                 1.1775,                0.90419,                0.90087,                0.96706,                0.76656,                0.81212,                0.54897,                 1.2425,               0.009703,               0.009703,               0.009703
                     17,                0.86003,                0.71047,                 1.1753,                0.90043,                0.89588,                0.95423,                0.76806,                0.78078,                0.53298,                 1.2244,              0.0096832,              0.0096832,              0.0096832
                     18,                0.86874,                0.70341,                 1.1705,                0.94921,                0.87628,                0.96734,                 0.7755,                0.77217,                0.52003,                 1.2226,              0.0096634,              0.0096634,              0.0096634
                     19,                0.85461,                0.67613,                 1.1672,                0.90408,                0.88846,                 0.9579,                0.76992,                0.76579,                0.57738,                 1.2128,              0.0096436,              0.0096436,              0.0096436
                     20,                0.83955,                0.65778,                 1.1503,                0.91212,                0.92983,                0.97522,                0.78208,                 0.7742,                0.47665,                 1.2194,              0.0096238,              0.0096238,              0.0096238
                     21,                0.84033,                0.64502,                 1.1572,                0.93835,                 0.9388,                0.97993,                0.79601,                 0.7681,                0.44022,                 1.2098,               0.009604,               0.009604,               0.009604
                     22,                0.84155,                   0.64,                 1.1572,                0.93262,                0.91862,                0.96916,                0.78636,                0.76319,                0.46582,                 1.2114,              0.0095842,              0.0095842,              0.0095842
                     23,                 0.8198,                0.63665,                 1.1497,                0.91789,                0.91887,                0.96338,                0.76377,                0.82058,                0.52265,                 1.2435,              0.0095644,              0.0095644,              0.0095644
